track_name,artists,cluster_label,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Comedy,Gen Hoshino,1,0.676,0.461,-6.746,0.143,0.0322,1.01e-06,0.358,0.715,87.917
Ghost - Acoustic,Ben Woodward,14,0.42,0.166,-17.235,0.0763,0.924,5.56e-06,0.101,0.267,77.489
To Begin Again,Ingrid Michaelson;ZAYN,2,0.438,0.359,-9.734,0.0557,0.21,0.0,0.117,0.12,76.332
Can't Help Falling In Love,Kina Grannis,3,0.266,0.0596,-18.515,0.0363,0.905,7.07e-05,0.132,0.143,181.74
Hold On,Chord Overstreet,2,0.618,0.443,-9.681,0.0526,0.469,0.0,0.0829,0.167,119.949
Days I Will Remember,Tyrone Wells,10,0.688,0.481,-8.807,0.105,0.289,0.0,0.189,0.666,98.017
Say Something,A Great Big World;Christina Aguilera,3,0.407,0.147,-8.822,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284
I'm Yours,Jason Mraz,10,0.703,0.444,-9.331,0.0417,0.559,0.0,0.0973,0.712,150.96
Lucky,Jason Mraz;Colbie Caillat,10,0.625,0.414,-8.7,0.0369,0.294,0.0,0.151,0.669,130.088
Hunger,Ross Copperman,2,0.442,0.632,-6.77,0.0295,0.426,0.00419,0.0735,0.196,78.899
Give Me Your Forever,Zack Tabudlo,2,0.627,0.363,-8.127,0.0291,0.279,0.0,0.0928,0.301,99.905
I Won't Give Up,Jason Mraz,3,0.483,0.303,-10.058,0.0429,0.694,0.0,0.115,0.139,133.406
Solo,Dan Berk,3,0.489,0.314,-9.245,0.0331,0.749,0.0,0.113,0.607,124.234
Bad Liar,Anna Hamilton,2,0.691,0.234,-6.441,0.0285,0.777,0.0,0.12,0.209,87.103
Hold On - Remix,Chord Overstreet;Deepend,12,0.755,0.78,-6.084,0.0327,0.124,2.83e-05,0.121,0.387,120.004
Falling in Love at a Coffee Shop,Landon Pigg,2,0.489,0.561,-7.933,0.0274,0.2,4.56e-05,0.179,0.238,83.457
ily (i love you baby),Andrew Foy;Renee Foy,14,0.706,0.112,-18.098,0.0391,0.827,4.03e-06,0.125,0.414,110.154
At My Worst,Andrew Foy;Renee Foy,14,0.795,0.0841,-18.09,0.0461,0.742,1.17e-05,0.0853,0.609,91.803
Lucky,Jason Mraz;Colbie Caillat,10,0.625,0.414,-8.7,0.0369,0.294,0.0,0.151,0.669,130.088
Photograph,Boyce Avenue;Bea Miller,10,0.717,0.32,-8.393,0.0283,0.83,0.0,0.107,0.322,107.946
I'm Yours,Jason Mraz,10,0.703,0.444,-9.331,0.0417,0.559,0.0,0.0973,0.712,150.96
Demons,Boyce Avenue;Jennel Garcia,10,0.678,0.351,-8.654,0.0266,0.747,0.0,0.355,0.569,90.032
Say Something,A Great Big World;Christina Aguilera,3,0.407,0.147,-8.822,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284
93 Million Miles,Jason Mraz,3,0.572,0.454,-10.286,0.0258,0.477,1.37e-05,0.0974,0.515,140.182
Unlonely,Jason Mraz,1,0.796,0.667,-4.831,0.0392,0.381,0.0,0.221,0.754,97.988
Bella Luna,Jason Mraz,10,0.755,0.454,-9.609,0.0352,0.757,0.0,0.236,0.33,120.06
Winter Wonderland,Jason Mraz,10,0.62,0.309,-9.209,0.0495,0.788,0.0,0.146,0.664,145.363
If It Kills Me,Jason Mraz,12,0.633,0.429,-6.784,0.0381,0.0444,0.0,0.132,0.52,143.793
Winter Wonderland,Jason Mraz,10,0.62,0.309,-9.209,0.0495,0.788,0.0,0.146,0.664,145.363
Winter Wonderland,Jason Mraz,10,0.62,0.309,-9.209,0.0495,0.788,0.0,0.146,0.664,145.363
Winter Wonderland,Jason Mraz,10,0.62,0.309,-9.209,0.0495,0.788,0.0,0.146,0.664,145.363
Winter Wonderland,Jason Mraz,10,0.62,0.309,-9.209,0.0495,0.788,0.0,0.146,0.664,145.363
All I Want For Christmas Is A Real Good Tan,Chord Overstreet,3,0.593,0.455,-8.192,0.0388,0.366,0.0,0.0914,0.564,202.019
Party of One,Brandi Carlile;Sam Smith,3,0.296,0.206,-11.799,0.0412,0.782,0.000225,0.0959,0.202,165.4
Party of One,Brandi Carlile;Sam Smith,3,0.296,0.206,-11.799,0.0412,0.782,0.000225,0.0959,0.202,165.4
Party of One,Brandi Carlile;Sam Smith,3,0.296,0.206,-11.799,0.0412,0.782,0.000225,0.0959,0.202,165.4
Lonely This Christmas,KT Tunstall,14,0.409,0.153,-10.74,0.0306,0.939,2.56e-05,0.108,0.18,85.262
Throwing Good After Bad,Brandi Carlile,14,0.501,0.0952,-12.931,0.054,0.963,1.58e-05,0.0915,0.316,138.016
This Time Tomorrow,Brandi Carlile,14,0.606,0.326,-10.031,0.0294,0.841,0.0,0.139,0.414,91.626
Lonely This Christmas,KT Tunstall,14,0.409,0.153,-10.74,0.0306,0.939,2.56e-05,0.108,0.18,85.262
The Haves,Eddie Vedder,3,0.474,0.519,-5.291,0.0253,0.281,0.0,0.107,0.326,151.832
When You're Wrong,Brandi Carlile,14,0.568,0.301,-10.163,0.0373,0.796,3.37e-06,0.118,0.142,88.029
You and Me on the Rock,Brandi Carlile;Lucius,6,0.568,0.686,-6.635,0.033,0.15,1.81e-06,0.0881,0.725,172.075
You and Me on the Rock,Brandi Carlile;Lucius,6,0.568,0.686,-6.635,0.033,0.15,1.81e-06,0.0881,0.725,172.075
"Speak Your Mind (From the Netflix Series ""We The People"")",Brandi Carlile,5,0.476,0.666,-3.438,0.0446,0.314,0.0,0.342,0.498,148.155
You and Me on the Rock,Brandi Carlile;Lucius,6,0.568,0.686,-6.635,0.033,0.15,1.81e-06,0.0881,0.725,172.075
You and Me on the Rock,Brandi Carlile;Lucius,6,0.568,0.686,-6.635,0.033,0.15,1.81e-06,0.0881,0.725,172.075
You and Me on the Rock,Brandi Carlile;Lucius,6,0.568,0.686,-6.635,0.033,0.15,1.81e-06,0.0881,0.725,172.075
You and Me on the Rock,Brandi Carlile;Lucius,6,0.568,0.686,-6.635,0.033,0.15,1.81e-06,0.0881,0.725,172.075
You and Me on the Rock,Brandi Carlile;Lucius,6,0.568,0.686,-6.635,0.033,0.15,1.81e-06,0.0881,0.725,172.075
Trampoline - Acoustic,Highland Peak,14,0.596,0.2,-10.424,0.0305,0.91,0.000183,0.0884,0.308,107.893
透明だった世界,Motohiro Hata,8,0.373,0.914,-4.185,0.0565,0.076,0.0,0.669,0.56,168.21
Pieces,Andrew Belle,12,0.494,0.652,-5.863,0.0314,0.0754,0.00256,0.125,0.298,137.018
A Drop in the Ocean,Ron Pope,2,0.447,0.393,-8.65,0.038,0.785,0.0,0.28,0.564,73.139
So Far Away - Acoustic,Adam Christopher,3,0.576,0.331,-9.389,0.0306,0.894,3.44e-05,0.129,0.407,149.02
The Enemy,Andrew Belle,13,0.536,0.89,-5.222,0.0375,0.078,0.0202,0.131,0.273,121.974
Build It Better,Aron Wright,14,0.526,0.333,-13.02,0.0314,0.91,0.168,0.111,0.159,94.951
Sleepwalking in the Rain,Chord Overstreet,2,0.501,0.381,-9.448,0.036,0.687,0.00133,0.119,0.502,80.075
Gravity,Sara Bareilles,3,0.27,0.275,-10.357,0.0356,0.834,0.0,0.146,0.231,168.964
What's Left of You,Chord Overstreet,12,0.731,0.507,-6.477,0.046,0.572,0.0,0.0912,0.265,117.969
Pano,Zack Tabudlo,3,0.375,0.457,-7.018,0.0315,0.868,0.0145,0.191,0.415,174.839
Sky's Still Blue,Andrew Belle,5,0.43,0.791,-5.419,0.0302,0.0726,0.0193,0.11,0.217,171.864
And I Love Her,Kurt Cobain,4,0.616,0.282,-15.317,0.0331,0.983,0.833,0.13,0.435,96.638
We Can't Stop,Boyce Avenue;Bea Miller,2,0.705,0.347,-8.249,0.0301,0.674,0.0,0.12,0.36,80.057
Always Be My Baby,Tim Halperin,3,0.582,0.255,-10.254,0.0306,0.772,0.0,0.0889,0.285,139.884
Alone with You,Canyon City,14,0.549,0.274,-12.565,0.0379,0.798,6.63e-06,0.103,0.207,86.664
Making All Things New,Aaron Espe,10,0.787,0.355,-11.429,0.0288,0.896,0.0201,0.111,0.48,99.978
She Used To Be Mine,Sara Bareilles,2,0.397,0.303,-7.508,0.0435,0.381,0.0,0.101,0.172,81.05
In My Veins - Feat. Erin Mccarley,Andrew Belle,12,0.548,0.42,-7.842,0.0277,0.198,4.46e-06,0.0899,0.196,128.012
I Don't Wanna Live Forever (Fifty Shades Darker),Tyler Ward,10,0.787,0.403,-11.989,0.033,0.603,0.00857,0.131,0.264,118.042
A Drop In the Ocean,Ron Pope,12,0.484,0.573,-6.183,0.0298,0.0882,1.14e-06,0.15,0.346,139.966
Superman (It's Not Easy),Five For Fighting,2,0.382,0.416,-9.303,0.0302,0.0733,0.0,0.0719,0.125,102.089
When the End Comes,Andrew Belle,2,0.541,0.575,-9.463,0.0491,0.677,0.215,0.102,0.428,91.98
You're Still The One,Bailey Jehl,8,0.607,0.473,-8.555,0.034,0.712,0.0,0.66,0.54,119.698
Light Me Up,Ingrid Michaelson,5,0.417,0.595,-7.84,0.0396,0.158,0.000269,0.101,0.117,147.928
93 Million Miles,Jason Mraz,3,0.572,0.454,-10.286,0.0258,0.477,1.37e-05,0.0974,0.515,140.182
Kaleidoscope,A Great Big World,1,0.709,0.913,-5.148,0.0748,0.0182,0.0,0.167,0.519,108.024
The Long Road,Eddie Vedder;Nusrat Fateh Ali Khan,14,0.537,0.342,-13.553,0.0273,0.645,0.266,0.0687,0.253,109.236
What Would I Do Without You,Drew Holcomb & The Neighbors,14,0.602,0.336,-11.106,0.0369,0.883,0.0017,0.143,0.335,90.894
Have It All,Jason Mraz,1,0.643,0.638,-4.947,0.0407,0.204,0.0,0.0707,0.6,82.001
Heavy Heart,Gabrielle Aplin,5,0.451,0.7,-6.597,0.0431,0.455,0.00233,0.405,0.37,150.055
The House We Never Built,Gabrielle Aplin,3,0.546,0.391,-10.786,0.063,0.784,2.72e-06,0.0552,0.202,139.669
Society,Eddie Vedder,3,0.561,0.327,-10.835,0.0327,0.902,0.000469,0.111,0.298,161.858
Please Don't Say You Love Me,Gabrielle Aplin,2,0.479,0.541,-9.862,0.0543,0.74,0.0,0.108,0.3,85.994
Please Don't Say You Love Me,Gabrielle Aplin,2,0.479,0.541,-9.862,0.0543,0.74,0.0,0.108,0.3,85.994
Guaranteed,Eddie Vedder,14,0.436,0.4,-11.485,0.0272,0.904,0.00105,0.125,0.351,100.734
Brave,Sara Bareilles,6,0.551,0.836,-3.838,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063
Lonely This Christmas,KT Tunstall,14,0.409,0.153,-10.74,0.0306,0.939,2.56e-05,0.108,0.18,85.262
Lonely This Christmas,KT Tunstall,14,0.409,0.153,-10.74,0.0306,0.939,2.56e-05,0.108,0.18,85.262
Heaven Knows,Five For Fighting,13,0.6,0.845,-7.076,0.0311,0.048,0.0,0.24,0.392,97.631
I Heard The Bells On Christmas Day,The Civil Wars,14,0.492,0.145,-14.504,0.0422,0.872,9.68e-06,0.107,0.218,90.078
I Heard The Bells On Christmas Day,The Civil Wars,14,0.492,0.145,-14.504,0.0422,0.872,9.68e-06,0.107,0.218,90.078
Fairytale Of New York,KT Tunstall,2,0.447,0.555,-6.018,0.0349,0.218,3.46e-06,0.124,0.33,117.888
I Heard The Bells On Christmas Day,The Civil Wars,14,0.492,0.145,-14.504,0.0422,0.872,9.68e-06,0.107,0.218,90.078
I Heard The Bells On Christmas Day,The Civil Wars,14,0.492,0.145,-14.504,0.0422,0.872,9.68e-06,0.107,0.218,90.078
I Heard The Bells On Christmas Day,The Civil Wars,14,0.492,0.145,-14.504,0.0422,0.872,9.68e-06,0.107,0.218,90.078
I Heard The Bells On Christmas Day,The Civil Wars,14,0.492,0.145,-14.504,0.0422,0.872,9.68e-06,0.107,0.218,90.078
I Heard The Bells On Christmas Day,The Civil Wars,14,0.492,0.145,-14.504,0.0422,0.872,9.68e-06,0.107,0.218,90.078
Hold On,KT Tunstall,1,0.661,0.937,-5.157,0.0979,0.322,1.04e-06,0.19,0.805,105.549
Suddenly I See,KT Tunstall,1,0.603,0.78,-5.531,0.0438,0.139,0.0,0.164,0.693,100.499
Rain,Motohiro Hata,2,0.626,0.655,-6.69,0.0263,0.503,0.0,0.13,0.542,92.003
Somebody Else - Acoustic,Callum J Wright,10,0.794,0.38,-8.769,0.0477,0.762,0.0,0.262,0.617,114.99
Pieces (Hushed),Andrew Belle,14,0.52,0.279,-10.739,0.0547,0.894,0.000105,0.103,0.0951,69.642
Mirrors,Boyce Avenue;Fifth Harmony,2,0.545,0.658,-7.174,0.0474,0.496,0.0,0.105,0.683,76.971
Stand by Me,Boyce Avenue,10,0.728,0.266,-7.322,0.0293,0.872,1.03e-05,0.114,0.307,115.189
Losing Me,Gabrielle Aplin;JP Cooper,12,0.66,0.407,-8.381,0.0571,0.236,0.0,0.109,0.257,133.86
なんでもないや - movie ver.,Mone Kamishiraishi,14,0.357,0.161,-10.667,0.0388,0.971,1.4e-05,0.358,0.325,83.449
You’re Beautiful - Acoustic,John Adams,3,0.479,0.154,-11.282,0.0352,0.915,0.0,0.0974,0.36,147.207
Hikare Inochi,Kitri,12,0.592,0.769,-5.268,0.0311,0.319,4.66e-06,0.137,0.385,102.033
How To Lose a Girl,Tyler Ward,2,0.7,0.454,-10.39,0.0388,0.55,0.0022,0.121,0.34,80.011
Can’t Help Falling in Love,Boyce Avenue,14,0.402,0.197,-10.775,0.0295,0.858,1.05e-06,0.114,0.148,100.044
Dive Deep (Hushed),Andrew Belle,3,0.507,0.378,-9.019,0.0332,0.852,0.000212,0.0937,0.085,135.86
When the Party's over (Acoustic Piano),Ben Woodward,14,0.619,0.226,-13.453,0.0641,0.959,4.42e-05,0.106,0.188,124.96
Boston,Augustana,5,0.404,0.571,-5.069,0.0303,0.182,2.08e-05,0.129,0.29,147.01
Living in the Shadows,Matthew Perryman Jones,5,0.418,0.79,-6.599,0.0506,0.0284,9.96e-06,0.117,0.197,175.975
In Case You Didn’t Know,Boyce Avenue,3,0.633,0.299,-7.798,0.0353,0.833,0.0,0.109,0.341,147.549
death bed (coffee for your head),Andrew Foy;Renee Foy,14,0.565,0.0392,-28.276,0.045,0.835,0.183,0.117,0.601,125.399
You Are My Sunshine,Kina Grannis,14,0.664,0.0755,-19.836,0.0389,0.91,0.0,0.164,0.575,80.004
I Won't Give Up,Jason Mraz,3,0.585,0.303,-10.058,0.0398,0.694,0.0,0.115,0.142,136.703
I Was Born To Love You,Ray LaMontagne;Sierra Ferrell,14,0.65,0.271,-11.081,0.0314,0.794,6.9e-05,0.196,0.21,78.036
Only Love Can Hurt Like This,Meg Birch,14,0.534,0.213,-8.64,0.0283,0.884,0.0,0.107,0.0998,98.385
Mr Blue,Catherine Feeny,3,0.456,0.386,-10.293,0.032,0.835,0.108,0.389,0.612,165.733
Do Not Let Me Go,Joshua Hyslop,3,0.409,0.234,-13.711,0.0323,0.338,5e-05,0.0895,0.145,139.832
Holding On And Letting Go,Ross Copperman,2,0.502,0.53,-9.573,0.0266,0.805,0.000738,0.0728,0.102,78.046
You Already Know,JJ Heller,14,0.496,0.117,-12.884,0.0301,0.933,0.0,0.126,0.318,78.068
Believer (Remix),Ben Woodward,5,0.585,0.724,-6.513,0.0745,0.315,0.0681,0.0448,0.333,187.484
Collide - Acoustic Version,Howie Day,14,0.582,0.253,-11.43,0.0259,0.827,2.95e-05,0.091,0.294,90.186
Love Like This,Ben Rector,3,0.637,0.14,-11.472,0.0407,0.903,0.0,0.107,0.392,139.78
Come On Get Higher,Matt Nathanson,1,0.672,0.623,-5.699,0.0297,0.241,0.0,0.0848,0.617,92.018
"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]",Rachael Yamagata,3,0.422,0.272,-10.772,0.0353,0.496,1.07e-05,0.0704,0.113,143.413
Kiss Me Slowly,Parachute,5,0.47,0.801,-6.426,0.0352,0.0758,3.53e-05,0.218,0.431,173.92
Without You,Parachute,13,0.564,0.864,-5.121,0.0341,0.0761,0.0,0.182,0.534,95.984
Absolutely Zero,Jason Mraz,12,0.521,0.495,-7.756,0.027,0.128,0.0,0.296,0.116,135.061
Sleep All Day,Jason Mraz,1,0.616,0.81,-6.51,0.0668,0.369,0.0,0.107,0.79,97.994
You and I Both,Jason Mraz,1,0.615,0.812,-6.573,0.0458,0.184,0.0,0.328,0.74,98.954
Long Nights,Eddie Vedder,14,0.478,0.305,-13.062,0.0306,0.675,0.00139,0.169,0.0974,108.66
Please Don't Say You Love Me,Gabrielle Aplin,2,0.479,0.541,-9.862,0.0545,0.737,0.0,0.108,0.321,85.994
Suddenly I See,KT Tunstall,1,0.587,0.767,-5.713,0.0449,0.225,0.0,0.112,0.664,100.38
Who Needs Shelter,Jason Mraz,3,0.514,0.569,-7.866,0.03,0.601,2.21e-06,0.218,0.264,142.597
No Stopping Us,Jason Mraz,1,0.646,0.836,-6.203,0.0327,0.301,3.23e-05,0.29,0.727,105.991
I'll Do Anything,Jason Mraz,6,0.57,0.711,-4.155,0.0703,0.119,0.0,0.352,0.648,163.117
Make You Feel My Love,JJ Heller,14,0.678,0.199,-9.785,0.0307,0.957,3.23e-06,0.0968,0.262,72.006
The Remedy (I Won't Worry),Jason Mraz,1,0.589,0.867,-4.523,0.0385,0.041,0.0,0.306,0.795,94.52
Too Much Food,Jason Mraz,13,0.626,0.926,-4.441,0.0477,0.0265,0.0,0.159,0.548,99.997
The Boy's Gone,Jason Mraz,12,0.686,0.556,-8.5,0.0271,0.532,0.0,0.0922,0.36,112.997
"On Love, in Sadness",Jason Mraz,1,0.56,0.832,-5.595,0.0352,0.108,0.0,0.232,0.802,100.957
Curbside Prophet,Jason Mraz,6,0.619,0.793,-5.964,0.0661,0.263,0.0,0.0828,0.892,177.991
"Tonight, Not Again - Live",Jason Mraz,10,0.56,0.278,-12.501,0.0921,0.733,0.0,0.112,0.594,102.187
"Tonight, Not Again",Jason Mraz,12,0.595,0.805,-7.926,0.0543,0.0167,1.06e-05,0.0691,0.359,102.44
Hard Sun,Eddie Vedder,6,0.438,0.827,-6.531,0.0328,0.0512,0.000402,0.319,0.645,143.377
Here with Me,Susie Suh;Robot Koch,3,0.582,0.375,-13.277,0.0329,0.702,0.0631,0.136,0.106,129.909
The Scientist,Tyler Ward;Lindsey Stirling;Kina Grannis,3,0.453,0.295,-12.881,0.0291,0.518,0.00011,0.293,0.14,146.022
Collide,Howie Day,12,0.636,0.625,-7.895,0.0277,0.222,5.35e-05,0.119,0.342,93.931
get better,Eden Elf;Ren Avel,14,0.639,0.201,-16.613,0.0526,0.907,2.26e-05,0.124,0.4,88.107
Sympathy,Kitri,10,0.69,0.423,-9.194,0.0294,0.883,0.0123,0.111,0.59,130.121
Let It Go,Boyce Avenue;Rachel Grae,3,0.599,0.349,-9.269,0.0301,0.819,0.0,0.112,0.444,147.913
What You Need,Chord Overstreet,3,0.519,0.264,-11.171,0.0601,0.918,0.000253,0.237,0.192,140.354
100 Years,Five For Fighting,12,0.643,0.569,-7.459,0.0276,0.544,2.17e-05,0.178,0.275,120.507
You're the Sea,Andrew Belle,3,0.573,0.624,-9.076,0.0324,0.471,0.117,0.114,0.529,161.025
No Direction,Rachael Yamagata,1,0.654,0.821,-5.472,0.0264,0.00666,0.00299,0.228,0.613,111.958
Belong,Cary Brothers,3,0.426,0.399,-8.447,0.034,0.761,0.00112,0.118,0.217,115.979
As It Was,The Mayries,14,0.505,0.21,-11.349,0.0295,0.907,0.0,0.11,0.323,80.721
I'm Yours,Jason Mraz,10,0.693,0.43,-9.395,0.0442,0.565,0.0,0.0928,0.731,151.001
Chi Mai,Joseph Sullinger,4,0.739,0.287,-14.007,0.059,0.969,0.961,0.111,0.557,80.64
Say Something,A Great Big World;Christina Aguilera,3,0.453,0.146,-8.976,0.0343,0.867,3.49e-06,0.0945,0.0915,137.905
Had It All,Parachute,2,0.606,0.54,-6.271,0.0339,0.182,0.000144,0.144,0.249,79.952
Take Me Back ft. Yonnyboii,Zack Tabudlo;Yonnyboii,12,0.595,0.646,-5.495,0.0327,0.11,0.0,0.258,0.563,120.049
Whole Again - Acoustic Version,Tobey Rosen,3,0.736,0.145,-9.215,0.0336,0.855,0.0,0.108,0.235,129.832
Overpass Graffiti,The Mayries,14,0.479,0.126,-13.974,0.0303,0.966,0.0,0.113,0.279,96.327
Love Song,Sara Bareilles,13,0.583,0.786,-3.142,0.0301,0.0208,0.0,0.188,0.573,123.055
Let Her Go,Andrew Foy;Renee Foy,14,0.549,0.291,-13.457,0.0388,0.858,0.000846,0.129,0.376,75.153
Brighter Than Sunshine,Aqualung,2,0.418,0.489,-8.373,0.0323,0.287,0.0288,0.42,0.398,72.891
Love Story,Tyler Ward;Karis;Ray Lorraine,14,0.498,0.12,-17.721,0.0487,0.851,0.0,0.171,0.338,121.187
Mujer con Abanico,Agustín Amigó;Nylonwings,4,0.769,0.135,-12.049,0.061,0.986,0.905,0.106,0.471,103.939
In the Shadows,Amy Stroup,3,0.434,0.469,-7.849,0.0265,0.52,0.000328,0.108,0.0568,136.282
Can You Feel the Love Tonight,Boyce Avenue;Connie Talbot,14,0.452,0.198,-9.374,0.0335,0.931,2.24e-06,0.1,0.217,119.499
The Story,Brandi Carlile,2,0.544,0.5,-8.253,0.026,0.0325,3.78e-06,0.109,0.177,93.621
Better,JJ Heller,14,0.662,0.187,-9.003,0.0268,0.969,0.000273,0.0922,0.233,104.988
Iris,Kina Grannis,14,0.497,0.13,-15.571,0.0436,0.841,0.0,0.111,0.179,130.769
Rockabye - Acoustic Version,The Mayries,14,0.528,0.291,-9.696,0.0401,0.914,0.0,0.121,0.355,76.805
I Need You More Today,Caleb Santos;Viva Music Publishing Inc.,3,0.461,0.522,-7.513,0.043,0.36,0.0,0.123,0.446,157.768
Beautiful Soul,Boyce Avenue,2,0.483,0.506,-6.058,0.0347,0.394,0.0,0.0946,0.705,87.337
Let's See What The Night Can Do,Jason Mraz,2,0.392,0.423,-7.813,0.0348,0.27,0.0,0.117,0.288,113.537
"La La La (Something In the Rain, Pt. 2) [Music from the Original TV Series]",Rachael Yamagata,4,0.42,0.2,-18.827,0.0492,0.929,0.49,0.0758,0.164,87.248
Forever And Always,Parachute,12,0.657,0.716,-5.675,0.0301,0.014,0.0,0.0483,0.435,93.924
Fine On The Outside,Priscilla Ahn,14,0.495,0.185,-13.824,0.0288,0.692,0.00403,0.109,0.196,101.89
Tortured Soul,Chord Overstreet,2,0.55,0.499,-9.502,0.0338,0.472,2.26e-06,0.0798,0.144,86.966
I Believe in You,JJ Heller,3,0.534,0.359,-9.311,0.0296,0.449,1.2e-05,0.331,0.267,131.804
At Home,Jon Bryant,2,0.378,0.52,-10.965,0.0382,0.777,0.0888,0.0979,0.357,73.744
"Portland, Maine",Donovan Woods,14,0.606,0.349,-13.967,0.0319,0.764,0.306,0.112,0.156,80.071
Holding On and Letting Go,Ross Copperman,2,0.486,0.555,-9.466,0.0271,0.818,0.00269,0.109,0.0992,77.987
The Flood,Joshua Hyslop,2,0.577,0.446,-11.343,0.0313,0.554,0.0782,0.116,0.262,81.005
Hanggang Kailan (Umuwi Ka Na Baby),Angelina Cruz,3,0.59,0.407,-9.079,0.0361,0.861,9.95e-06,0.094,0.276,145.852
Out of My League,Stephen Speaks,14,0.538,0.315,-10.057,0.0291,0.96,0.00596,0.0979,0.4,91.921
Say Something,A Great Big World,3,0.447,0.158,-7.571,0.036,0.872,1.58e-06,0.0816,0.142,140.942
Rise,Eddie Vedder,3,0.401,0.58,-6.86,0.0541,0.906,0.217,0.134,0.526,173.277
World Spins Madly On,The Weepies;Deb Talan;Steve Tannen,14,0.502,0.311,-13.421,0.0285,0.617,4.32e-05,0.129,0.4,107.612
Stumble,Freddie King,1,0.678,0.612,-9.764,0.0339,0.1,0.316,0.164,0.857,118.381
Paradise,Taj Mahal,10,0.65,0.406,-13.492,0.0761,0.568,0.0,0.484,0.862,79.642
"Moonlight, Mistletoe & You",Keb' Mo';Gerald Albright,2,0.649,0.399,-7.894,0.0256,0.184,0.000108,0.113,0.342,97.498
ひまわりの約束,Motohiro Hata,2,0.523,0.445,-6.359,0.0329,0.188,0.0,0.18,0.336,78.957
Since U Been Gone - Acoustic Version,Thomas Daniel,14,0.538,0.162,-13.31,0.0299,0.847,0.0,0.114,0.366,94.981
"One more time,One more chance",Masayoshi Yamazaki,3,0.519,0.429,-7.707,0.0317,0.658,0.0,0.111,0.396,129.491
Creep,Kina Grannis,14,0.585,0.103,-12.682,0.0309,0.801,0.0,0.126,0.179,133.057
Higher Love,Todd Carey;Ariza;Chuck Leavell,13,0.578,0.763,-4.824,0.0998,0.0916,2.8e-06,0.0743,0.394,96.808
Hyouriittai,YUZU,5,0.223,0.891,-3.626,0.138,0.325,0.0,0.287,0.333,159.888
How Long Will I Love You,Canyon City,14,0.382,0.157,-16.157,0.0361,0.878,0.000473,0.112,0.224,136.11
Binibini,Zack Tabudlo,3,0.642,0.374,-10.606,0.032,0.423,1.54e-06,0.435,0.0979,129.863
You Were Supposed to Be Different,Aron Wright,14,0.436,0.239,-12.83,0.0282,0.861,8.48e-05,0.0902,0.137,73.761
Thinking out Loud,Boyce Avenue,10,0.702,0.326,-6.638,0.0272,0.705,0.0,0.168,0.628,79.904
Perfect / Style,Jonah Baker,14,0.593,0.292,-12.755,0.0364,0.828,0.0,0.174,0.375,111.121
Poison & Wine,The Civil Wars,3,0.285,0.186,-12.729,0.0288,0.76,7.3e-05,0.104,0.203,153.848
Collide,Howie Day,12,0.636,0.625,-7.895,0.0277,0.222,5.35e-05,0.119,0.342,93.931
You And I,Ingrid Michaelson,10,0.698,0.285,-7.632,0.0553,0.927,0.0,0.0883,0.53,135.027
Give Me Your Forever (ft. Billkin),Zack Tabudlo;Billkin,12,0.601,0.439,-7.589,0.0269,0.0642,0.0,0.0942,0.275,99.976
Falling in Love at a Coffee Shop,Landon Pigg,14,0.332,0.298,-14.174,0.0569,0.875,0.00784,0.114,0.243,83.555
Breathe (2 AM),Anna Nalick,3,0.386,0.452,-7.715,0.0278,0.417,0.0,0.0881,0.287,169.837
Habang Buhay,Zack Tabudlo,12,0.62,0.668,-5.719,0.0305,0.088,0.0,0.362,0.183,118.013
Beautiful Soul,Jonah Baker,14,0.394,0.281,-11.12,0.0414,0.826,0.0,0.0854,0.485,90.044
Bulletproof,Ben Woodward,3,0.59,0.552,-10.496,0.0407,0.654,0.000359,0.128,0.635,155.101
Spectrum,Andrew Belle,12,0.539,0.717,-7.385,0.031,0.000298,0.111,0.125,0.212,117.973
Girls Like You - Acoustic Version,Jonah Baker,14,0.543,0.138,-14.331,0.0531,0.791,0.0,0.185,0.3,115.65
Nangangamba,Zack Tabudlo,12,0.62,0.547,-6.772,0.0248,0.112,0.0,0.19,0.208,98.032
Better Together,Us The Duo,10,0.761,0.311,-10.597,0.0692,0.647,0.0,0.15,0.553,109.891
Heartbreak Anniversary,Andrew Foy;Renee Foy,14,0.674,0.122,-17.963,0.0427,0.882,0.0,0.139,0.339,130.014
One More Time Around,Tyler Ward;Karis;Ray Lorraine,3,0.429,0.358,-9.076,0.0346,0.614,0.0,0.0875,0.187,134.279
Say Something,A Great Big World,14,0.456,0.101,-11.75,0.038,0.876,1.74e-06,0.0776,0.155,139.896
Heart Can’t Lose,Zack Tabudlo,12,0.647,0.567,-8.971,0.0328,0.0318,0.0,0.133,0.374,125.871
I Ain't Ever Loved No One - Acoustic,Donovan Woods;Tenille Townes,3,0.322,0.213,-14.915,0.0318,0.611,0.0,0.113,0.16,160.389
Empty,Ray LaMontagne,2,0.482,0.381,-13.93,0.0311,0.455,0.00295,0.114,0.42,81.712
